Date,Time,WebSite,CompanyName,JobTitle,Response,ccText
10-08-2014,11:40,"dice.com","Xoriant Corporation","PHP & Drupal Developer",0,"Hi<contact name>,\n\nI'm a great fit for the position ""<position title>"" because of my 4 years experience with web technologies including frontend and backend. I've got a lot of practice on server side with PHP stack and Apache+Nginx servers. Developed web apps using HTML5, CSS3, JavaScript with jQuery and MVC framework AngularJS, familiar with Chrome DevTools including profiler.\n\nI'm looking forward to add value to <company name>"
10-08-2014,11:40,"dice.com","Inmata Solutions, Inc.","PHP Developer",0,"Hi<contact name>,\n\nI'm a great fit for the position ""<position title>"" because of my 4 years experience with web technologies including frontend and backend. I've got a lot of practice on server side with PHP stack and Apache+Nginx servers. Developed web apps using HTML5, CSS3, JavaScript with jQuery and MVC framework AngularJS, familiar with Chrome DevTools including profiler.\n\nI'm looking forward to add value to <company name>"
10-08-2014,11:40,"dice.com","InfoLlact, LLC","Senior PHP MySQL Developer",0,"Hi<contact name>,\n\nI'm a great fit for the position ""<position title>"" because of my 4 years experience with web technologies including frontend and backend. I've got a lot of practice on server side with PHP stack and Apache+Nginx servers. Developed web apps using HTML5, CSS3, JavaScript with jQuery and MVC framework AngularJS, familiar with Chrome DevTools including profiler.\n\nI'm looking forward to add value to <company name>"
10-08-2014,11:40,"dice.com","Etouch Systems Corp","PHP Developer",0,"Hi<contact name>,\n\nI'm a great fit for the position ""<position title>"" because of my 4 years experience with web technologies including frontend and backend. I've got a lot of practice on server side with PHP stack and Apache+Nginx servers. Developed web apps using HTML5, CSS3, JavaScript with jQuery and MVC framework AngularJS, familiar with Chrome DevTools including profiler.\n\nI'm looking forward to add value to <company name>"
10-08-2014,11:40,"dice.com","Virtue Group","PHP Developer",0,"Hi<contact name>,\n\nI'm a great fit for the position ""<position title>"" because of my 4 years experience with web technologies including frontend and backend. I've got a lot of practice on server side with PHP stack and Apache+Nginx servers. Developed web apps using HTML5, CSS3, JavaScript with jQuery and MVC framework AngularJS, familiar with Chrome DevTools including profiler.\n\nI'm looking forward to add value to <company name>"
10-08-2014,11:40,"dice.com","Online Technical Services","PHP Developer",0,"Hi<contact name>,\n\nI'm a great fit for the position ""<position title>"" because of my 4 years experience with web technologies including frontend and backend. I've got a lot of practice on server side with PHP stack and Apache+Nginx servers. Developed web apps using HTML5, CSS3, JavaScript with jQuery and MVC framework AngularJS, familiar with Chrome DevTools including profiler.\n\nI'm looking forward to add value to <company name>"
10-09-2014,14:30,"dice.com","KirkSearch","UI Lead (C#, javascript, html) for SEO Ecommerce Webstore builder",0,"Hi<contact name>,\n\nI'm a great fit for the position ""<position title>"" because of my 4 years experience with web technologies including frontend and backend. I've got a lot of practice on server side with PHP stack and Apache+Nginx servers. Developed web apps using HTML5, CSS3, JavaScript with jQuery and MVC framework AngularJS, familiar with Chrome DevTools including profiler.\n\nI'm looking forward to add value to <company name>"
10-09-2014,14:30,"dice.com","Softsol Resources Inc","Softsol Resources Inc",0,"Hi<contact name>,\n\nI'm a great fit for the position ""<position title>"" because of my 4 years experience with web technologies including frontend and backend. I've got a lot of practice on server side with PHP stack and Apache+Nginx servers. Developed web apps using HTML5, CSS3, JavaScript with jQuery and MVC framework AngularJS, familiar with Chrome DevTools including profiler.\n\nI'm looking forward to add value to <company name>"
10-09-2014,14:30,"dice.com","Ness Software Engineering Services","Senior Web Developer",0,"Hi<contact name>,\n\nI'm a great fit for the position ""<position title>"" because of my 4 years experience with web technologies including frontend and backend. I've got a lot of practice on server side with PHP stack and Apache+Nginx servers. Developed web apps using HTML5, CSS3, JavaScript with jQuery and MVC framework AngularJS, familiar with Chrome DevTools including profiler.\n\nI'm looking forward to add value to <company name>"
10-09-2014,14:30,"dice.com","SUPERMICRO COMPUTER INC","Web Application Developer",1,"Hi<contact name>,\n\nI'm a great fit for the position ""<position title>"" because of my 4 years experience with web technologies including frontend and backend. I've got a lot of practice on server side with PHP stack and Apache+Nginx servers. Developed web apps using HTML5, CSS3, JavaScript with jQuery and MVC framework AngularJS, familiar with Chrome DevTools including profiler.\n\nI'm looking forward to add value to <company name>"
